# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    6.132264529    8.882907257    8.882917764    8.882889891
    6.192384770    9.400664526    9.400685907    9.400642150
    6.252505010   12.258931977   12.258972782   12.258898313
    6.312625251   15.800857999   15.800904009   15.800801690
    6.372745491   16.591618521   16.591659653   16.591548998
    6.432865731   14.676794161   14.676840560   14.676712239
    6.492985972   12.595823323   12.595869004   12.595748273
    6.553106212    9.439369698    9.439411170    9.439348145
    6.613226453    7.227821180    7.227887454    7.227882419
    6.673346693    6.416882159    6.416963875    6.417012856
    6.733466934    5.905109427    5.905176197    5.905220270
    6.793587174    6.196154085    6.196215917    6.196226228
    6.853707415    6.160789917    6.160843108    6.160836983
    6.913827655    5.091538908    5.091573472    5.091570117
    6.973947896    4.465431692    4.465455640    4.465459178
    7.034068136    4.767392213    4.767411724    4.767424327
    7.094188377    5.276215378    5.276234795    5.276260060
    7.154308617    5.246928082    5.246940047    5.246976691
    7.214428858    5.257584635    5.257588241    5.257632127
    7.274549098    5.558371568    5.558369647    5.558406793
    7.334669339    5.267467543    5.267467317    5.267488251
    7.394789579    4.703283874    4.703286370    4.703301595
    7.454909820    4.176704490    4.176702382    4.176717571
    7.515030060    4.202598609    4.202583614    4.202603464
    7.575150301    3.757986318    3.757966608    3.757984347
    7.635270541    2.829835906    2.829820918    2.829826061
    7.695390782    2.414073528    2.414060259    2.414054722
    7.755511022    2.139526988    2.139513504    2.139516806
    7.815631263    1.711305520    1.711297911    1.711310884
    7.875751503    1.474033223    1.474039127    1.474050304
    7.935871743    1.544158153    1.544180726    1.544192160
    7.995991984    1.748188991    1.748219294    1.748226676
    8.056112224    1.526885606    1.526899839    1.526898983
    8.116232465    1.172428718    1.172432849    1.172433477
    8.176352705    0.973221200    0.973220054    0.973222627
    8.236472946    0.897817375    0.897811034    0.897814958
    8.296593186    0.947396765    0.947382984    0.947389205
    8.356713427    1.155633222    1.155606349    1.155617072
    8.416833667    1.521903253    1.521858160    1.521873196
    8.476953908    1.812027892    1.811978028    1.811984360
    8.537074148    2.156107315    2.156062171    2.156059775
    8.597194389    2.336980673    2.336953960    2.336952468
    8.657314629    1.897776206    1.897768601    1.897767150
    8.717434870    1.480773070    1.480773276    1.480773223
    8.777555110    1.409262145    1.409267711    1.409267724
    8.837675351    1.454197581    1.454206382    1.454214221
    8.897795591    1.476803201    1.476816088    1.476846548
    8.957915832    1.479231310    1.479251289    1.479311580
    9.018036072    1.329408187    1.329424713    1.329483338
    9.078156313    1.267272976    1.267276867    1.267313468
    9.138276553    1.394847227    1.394840735    1.394862916
    9.198396794    1.397478604    1.397464433    1.397475050
    9.258517034    1.311969447    1.311953257    1.311958363
    9.318637275    1.202130991    1.202117222    1.202118554
    9.378757515    1.176950890    1.176939326    1.176935951
    9.438877756    1.381006129    1.380990546    1.380983128
    9.498997996    1.411293525    1.411265582    1.411267598
    9.559118236    1.118249270    1.118221949    1.118231283
    9.619238477    0.977591984    0.977566404    0.977577755
    9.679358717    1.003476917    1.003443452    1.003459063
    9.739478958    1.194607476    1.194561889    1.194583539
    9.799599198    1.373280099    1.373250384    1.373274322
    9.859719439    1.340102471    1.340099759    1.340121470
    9.919839679    1.215785308    1.215789369    1.215804969
    9.979959920    1.120433268    1.120435955    1.120448401
   10.040080160    0.981952723    0.981952803    0.981967077
   10.100200401    0.916585057    0.916582300    0.916602225
   10.160320641    0.956104964    0.956098602    0.956128886
   10.220440882    1.029221492    1.029211920    1.029252140
   10.280561122    1.109181775    1.109173197    1.109208812
   10.340681363    1.274322126    1.274320254    1.274344435
   10.400801603    1.296603110    1.296599482    1.296621928
   10.460921844    1.197918529    1.197905073    1.197932324
   10.521042084    1.088882139    1.088865092    1.088886516
   10.581162325    0.905044021    0.905028396    0.905041785
   10.641282565    0.779020807    0.779004751    0.779017716
   10.701402806    0.730999772    0.730978441    0.730996929
   10.761523046    0.778350027    0.778324914    0.778348029
   10.821643287    0.859443014    0.859422337    0.859438237
   10.881763527    0.831984734    0.831977267    0.831975708
   10.941883768    0.821292031    0.821295946    0.821279097
   11.002004008    0.921000353    0.920997985    0.920989467
   11.062124248    0.988192666    0.988171986    0.988184123
   11.122244489    0.788290446    0.788267932    0.788283251
   11.182364729    0.609314599    0.609294120    0.609311096
   11.242484970    0.538707386    0.538689502    0.538708069
   11.302605210    0.483033779    0.483022109    0.483035135
   11.362725451    0.500424901    0.500415501    0.500423708
   11.422845691    0.594729853    0.594721185    0.594727089
   11.482965932    0.642412941    0.642407125    0.642412013
   11.543086172    0.602242442    0.602238824    0.602243090
   11.603206413    0.467318537    0.467317877    0.467318603
   11.663326653    0.395787215    0.395789970    0.395785802
   11.723446894    0.402622563    0.402627371    0.402616293
   11.783567134    0.396623290    0.396628101    0.396612676
   11.843687375    0.338810206    0.338814469    0.338803029
   11.903807615    0.315843590    0.315847195    0.315839421
   11.963927856    0.322691565    0.322695581    0.322688592
   12.024048096    0.339070495    0.339076225    0.339067627
   12.084168337    0.405084655    0.405094619    0.405082574
   12.144288577    0.535684325    0.535700909    0.535683978
   12.204408818    0.659647359    0.659672825    0.659648701
   12.264529058    0.681043873    0.681079890    0.681048100
   12.324649299    0.658853594    0.658896648    0.658861363
   12.384769539    0.632462004    0.632504539    0.632478116
   12.444889780    0.691761029    0.691810382    0.691792870
   12.505010020    0.726670287    0.726721491    0.726710536
   12.565130261    0.624282240    0.624314152    0.624312548
   12.625250501    0.481461176    0.481480866    0.481481991
   12.685370741    0.382861712    0.382874534    0.382874898
   12.745490982    0.355255494    0.355263902    0.355263393
   12.805611222    0.405262368    0.405268179    0.405267231
   12.865731463    0.483522375    0.483526412    0.483525572
   12.925851703    0.517555921    0.517558487    0.517558828
   12.985971944    0.527169349    0.527173230    0.527174545
   13.046092184    0.496952269    0.496958094    0.496959134
   13.106212425    0.514203566    0.514210470    0.514210022
   13.166332665    0.614536483    0.614545695    0.614543519
   13.226452906    0.695803214    0.695815002    0.695810367
   13.286573146    0.760506511    0.760526415    0.760516011
   13.346693387    0.787176359    0.787210719    0.787185409
   13.406813627    0.796342060    0.796377026    0.796348912
   13.466933868    0.751512684    0.751526875    0.751517357
   13.527054108    0.656821741    0.656823313    0.656819603
   13.587174349    0.503227269    0.503224615    0.503224550
   13.647294589    0.364653903    0.364654483    0.364653782
   13.707414830    0.302472026    0.302477555    0.302475764
   13.767535070    0.296022690    0.296034288    0.296033301
   13.827655311    0.323848241    0.323860996    0.323860011
   13.887775551    0.358399121    0.358408704    0.358404358
   13.947895792    0.380959511    0.380966551    0.380959441
   14.008016032    0.392764201    0.392769679    0.392764025
   14.068136273    0.383890003    0.383896191    0.383891826
   14.128256513    0.359404606    0.359412097    0.359407324
   14.188376754    0.329695477    0.329700623    0.329695982
   14.248496994    0.327726440    0.327726376    0.327722849
   14.308617234    0.386171449    0.386166234    0.386164174
   14.368737475    0.475737435    0.475727754    0.475727351
   14.428857715    0.476668205    0.476657174    0.476659314
   14.488977956    0.437139374    0.437125858    0.437134430
   14.549098196    0.449802511    0.449790222    0.449804120
   14.609218437    0.446805165    0.446798932    0.446814309
   14.669338677    0.388249164    0.388244891    0.388256736
   14.729458918    0.331373850    0.331373193    0.331379502
   14.789579158    0.316875812    0.316879575    0.316882789
   14.849699399    0.283946795    0.283952227    0.283954783
   14.909819639    0.217935208    0.217939831    0.217941034
   14.969939880    0.181652782    0.181657918    0.181656946
   15.030060120    0.180737412    0.180744223    0.180740910
   15.090180361    0.194764055    0.194771437    0.194765973
   15.150300601    0.196951803    0.196957563    0.196952209
   15.210420842    0.200830056    0.200833850    0.200831779
   15.270541082    0.237942330    0.237945130    0.237946530
   15.330661323    0.299641248    0.299645097    0.299646739
   15.390781563    0.334574024    0.334579761    0.334583591
   15.450901804    0.296863046    0.296871690    0.296880765
   15.511022044    0.250387722    0.250396953    0.250406378
   15.571142285    0.215053444    0.215059526    0.215063650
   15.631262525    0.221680086    0.221684768    0.221682816
   15.691382766    0.230917552    0.230922199    0.230915636
   15.751503006    0.213361730    0.213363921    0.213357303
   15.811623246    0.193494568    0.193494728    0.193490741
   15.871743487    0.185908688    0.185907833    0.185906402
   15.931863727    0.171137320    0.171136817    0.171137626
   15.991983968    0.137176511    0.137175720    0.137177329
   16.052104208    0.115425720    0.115425129    0.115426102
   16.112224449    0.111229214    0.111229201    0.111229332
   16.172344689    0.111856481    0.111856185    0.111855256
   16.232464930    0.114647073    0.114646004    0.114643634
   16.292585170    0.116358563    0.116356462    0.116351838
   16.352705411    0.120479171    0.120475416    0.120466514
   16.412825651    0.147616735    0.147609662    0.147594700
   16.472945892    0.189792171    0.189779182    0.189766448
   16.533066132    0.202501061    0.202485253    0.202480758
   16.593186373    0.178795084    0.178782539    0.178781793
   16.653306613    0.149978239    0.149969496    0.149970688
   16.713426854    0.123531754    0.123525438    0.123527686
   16.773547094    0.102407948    0.102404632    0.102406408
   16.833667335    0.098221535    0.098221004    0.098222408
   16.893787575    0.113226116    0.113229230    0.113231184
   16.953907816    0.154377012    0.154386160    0.154389768
   17.014028056    0.216051513    0.216071914    0.216076973
   17.074148297    0.229423987    0.229454604    0.229459141
   17.134268537    0.191098099    0.191121310    0.191126324
   17.194388778    0.155209273    0.155222689    0.155227590
   17.254509018    0.130640151    0.130648118    0.130653282
   17.314629259    0.123120693    0.123125700    0.123132037
   17.374749499    0.116223567    0.116226639    0.116232473
   17.434869739    0.111811133    0.111813014    0.111817222
   17.494989980    0.109984534    0.109985914    0.109989189
   17.555110220    0.097598179    0.097599070    0.097602851
   17.615230461    0.097695765    0.097696126    0.097701758
   17.675350701    0.114505482    0.114506110    0.114513724
   17.735470942    0.128075854    0.128076570    0.128083923
   17.795591182    0.139587077    0.139586074    0.139592259
   17.855711423    0.127927368    0.127926220    0.127930076
   17.915831663    0.098658831    0.098659129    0.098660871
   17.975951904    0.082730305    0.082730215    0.082732634
   18.036072144    0.083766715    0.083765111    0.083769393
   18.096192385    0.095379746    0.095375924    0.095381249
   18.156312625    0.100717619    0.100712086    0.100717856
   18.216432866    0.093298924    0.093293344    0.093298907
   18.276553106    0.097321738    0.097315808    0.097321385
   18.336673347    0.121042044    0.121034339    0.121041531
   18.396793587    0.146617113    0.146607642    0.146615612
   18.456913828    0.146867623    0.146858397    0.146862921
   18.517034068    0.145257396    0.145249195    0.145250427
   18.577154309    0.155735636    0.155732931    0.155732576
   18.637274549    0.169424990    0.169427637    0.169425983
   18.697394790    0.167135834    0.167144013    0.167142051
   18.757515030    0.137566982    0.137576110    0.137575026
   18.817635271    0.107586688    0.107593446    0.107593336
   18.877755511    0.087174455    0.087179553    0.087179884
   18.937875752    0.082677102    0.082682147    0.082682442
   18.997995992    0.095014889    0.095022648    0.095021999
   19.058116232    0.110528314    0.110541200    0.110537753
   19.118236473    0.116009319    0.116024516    0.116019969
   19.178356713    0.120695883    0.120708314    0.120706732
   19.238476954    0.111263292    0.111270209    0.111273547
   19.298597194    0.107682785    0.107686218    0.107692662
   19.358717435    0.118233933    0.118239372    0.118243748
   19.418837675    0.122990955    0.122995594    0.122998061
   19.478957916    0.115816660    0.115816341    0.115820501
   19.539078156    0.094785736    0.094781732    0.094788191
   19.599198397    0.074587114    0.074583129    0.074588596
   19.659318637    0.064599226    0.064596871    0.064599156
   19.719438878    0.060091427    0.060090399    0.060090314
   19.779559118    0.061488276    0.061488505    0.061486265
   19.839679359    0.070776512    0.070778859    0.070773278
   19.899799599    0.080549728    0.080553536    0.080543425
   19.959919840    0.081401967    0.081402990    0.081395747
   20.020040080    0.078963730    0.078962035    0.078959806
   20.080160321    0.074564943    0.074563360    0.074560067
   20.140280561    0.067331355    0.067333760    0.067330695
   20.200400802    0.061764633    0.061767236    0.061768200
   20.260521042    0.060804320    0.060806058    0.060807169
   20.320641283    0.069628512    0.069629437    0.069629581
   20.380761523    0.078354280    0.078354003    0.078355269
   20.440881764    0.077640908    0.077640409    0.077643164
   20.501002004    0.076291832    0.076293854    0.076296965
   20.561122244    0.071533912    0.071539563    0.071542336
   20.621242485    0.072662359    0.072670581    0.072673280
   20.681362725    0.077947286    0.077955902    0.077962832
   20.741482966    0.076791340    0.076797657    0.076810887
   20.801603206    0.072346956    0.072352086    0.072372177
   20.861723447    0.070752631    0.070757816    0.070780429
   20.921843687    0.073058766    0.073063351    0.073079736
   20.981963928    0.074523646    0.074528924    0.074541080
   21.042084168    0.077474302    0.077476886    0.077486523
   21.102204409    0.074879795    0.074878146    0.074887080
   21.162324649    0.071036625    0.071032210    0.071043786
   21.222444890    0.068933066    0.068930670    0.068940884
   21.282565130    0.059779449    0.059779506    0.059785100
   21.342685371    0.045423214    0.045422557    0.045426288
   21.402805611    0.037912960    0.037910540    0.037913805
   21.462925852    0.037743982    0.037739559    0.037743111
   21.523046092    0.041644649    0.041637842    0.041642765
   21.583166333    0.043928517    0.043920152    0.043925589
   21.643286573    0.044851374    0.044843487    0.044844872
   21.703406814    0.044149773    0.044143720    0.044142451
   21.763527054    0.037536039    0.037533614    0.037532635
   21.823647295    0.031533673    0.031532807    0.031532073
   21.883767535    0.029696990    0.029696492    0.029695035
   21.943887776    0.032062204    0.032061952    0.032059106
   22.004008016    0.039492260    0.039492746    0.039486919
   22.064128257    0.052065646    0.052067797    0.052055291
   22.124248497    0.062807209    0.062812259    0.062794258
   22.184368737    0.059012070    0.059017001    0.059006495
   22.244488978    0.050340023    0.050343726    0.050342117
   22.304609218    0.048037931    0.048042650    0.048047551
   22.364729459    0.049439421    0.049447883    0.049455735
   22.424849699    0.047686238    0.047694963    0.047700100
   22.484969940    0.047948545    0.047955069    0.047956231
   22.545090180    0.049398197    0.049404939    0.049401939
   22.605210421    0.050219204    0.050228042    0.050220615
   22.665330661    0.046495110    0.046502312    0.046492286
   22.725450902    0.041315322    0.041320414    0.041310182
   22.785571142    0.040250916    0.040255695    0.040245756
   22.845691383    0.044042452    0.044048603    0.044038497
   22.905811623    0.045104460    0.045114726    0.045103289
   22.965931864    0.038626422    0.038636869    0.038627507
   23.026052104    0.032460195    0.032466874    0.032463126
   23.086172345    0.027755862    0.027761188    0.027759826
   23.146292585    0.025308558    0.025312960    0.025311203
   23.206412826    0.025374384    0.025376987    0.025374556
   23.266533066    0.026516676    0.026518123    0.026515745
   23.326653307    0.030146735    0.030146485    0.030145078
