# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    17.838711590   17.838713118   17.838710695
    2.552552553   60.534843284   60.534844952   60.534844832
    2.582582583   61.475792742   61.475795091   61.475794659
    2.612612613   64.266880500   64.266883135   64.266882671
    2.642642643   66.736352417   66.736354334   66.736353709
    2.672672673   63.604128007   63.604127645   63.604126510
    2.702702703   50.274750864   50.274747621   50.274745941
    2.732732733   30.534909719   30.534905387   30.534903692
    2.762762763   13.129815554   13.129811982   13.129810577
    2.792792793    3.756217619    3.756215785    3.756214781
    2.822822823    1.917334077    1.917333094    1.917332227
    2.852852853    1.305240445    1.305239124    1.305238342
    2.882882883   -0.045756798   -0.045757905   -0.045757701
    2.912912913    1.184118675    1.184118415    1.184119867
    2.942942943    5.176885921    5.176886101    5.176888148
    2.972972973   10.157697465   10.157697700   10.157699905
    3.003003003   15.088674634   15.088674735   15.088676910
    3.033033033   19.271111453   19.271111244   19.271113175
    3.063063063   21.498804367   21.498803640   21.498804871
    3.093093093   20.498359067   20.498358241   20.498358469
    3.123123123   18.465487551   18.465488073   18.465488063
    3.153153153   19.182716503   19.182718484   19.182718852
    3.183183183   22.362273558   22.362276112   22.362276769
    3.213213213   26.410509435   26.410512003   26.410512788
    3.243243243   30.321311862   30.321314166   30.321314951
    3.273273273   33.719727693   33.719729846   33.719730591
    3.303303303   37.432942799   37.432945310   37.432946151
    3.333333333   42.351420979   42.351423945   42.351424976
    3.363363363   48.386645055   48.386648341   48.386649582
    3.393393393   55.327411299   55.327414853   55.327416317
    3.423423423   63.038748307   63.038752080   63.038753764
    3.453453453   71.021156899   71.021160660   71.021162479
    3.483483483   77.598648154   77.598651241   77.598652938
    3.513513514   79.539417927   79.539419299   79.539420428
    3.543543544   72.862804635   72.862802579   72.862802090
    3.573573574   54.853355070   54.853349629   54.853346855
    3.603603604   34.230205809   34.230201376   34.230198002
    3.633633634   16.377639229   16.377635727   16.377632190
    3.663663664   -4.354115535   -4.354119899   -4.354123807
    3.693693694  -27.056266783  -27.056272416  -27.056276287
    3.723723724  -46.951938833  -46.951944236  -46.951947169
    3.753753754  -60.838029069  -60.838033435  -60.838035518
    3.783783784  -71.380388458  -71.380391884  -71.380393601
    3.813813814  -76.112202105  -76.112202566  -76.112203218
    3.843843844  -72.854165012  -72.854163209  -72.854163011
    3.873873874  -65.961562468  -65.961559951  -65.961559476
    3.903903904  -58.900344456  -58.900341952  -58.900341490
    3.933933934  -52.761745429  -52.761743150  -52.761742799
    3.963963964  -47.255368307  -47.255366213  -47.255365946
    3.993993994  -42.138872524  -42.138870523  -42.138870285
    4.024024024  -37.517037342  -37.517035399  -37.517035176
    4.054054054  -33.577507405  -33.577505613  -33.577505472
    4.084084084  -30.685189744  -30.685188435  -30.685188562
    4.114114114  -29.037988418  -29.037988014  -29.037988562
    4.144144144  -27.619755186  -27.619755560  -27.619756351
    4.174174174  -25.458255570  -25.458256239  -25.458257062
    4.204204204  -22.794675248  -22.794675935  -22.794676730
    4.234234234  -20.007787189  -20.007787816  -20.007788582
    4.264264264  -17.280681454  -17.280682038  -17.280682798
    4.294294294  -14.813086532  -14.813087174  -14.813087988
    4.324324324  -13.080071368  -13.080072256  -13.080073236
    4.354354354  -12.617902207  -12.617903274  -12.617904471
    4.384384384  -12.570709980  -12.570710559  -12.570711758
    4.414414414  -11.593934893  -11.593934821  -11.593935889
    4.444444444  -10.583333222  -10.583332835  -10.583333753
    4.474474474  -11.936144772  -11.936144308  -11.936144898
    4.504504505  -17.114868703  -17.114868329  -17.114868368
    4.534534535  -23.099736170  -23.099736029  -23.099735590
    4.564564565  -25.982898813  -25.982898895  -25.982898283
    4.594594595  -25.690231239  -25.690231413  -25.690230807
    4.624624625  -24.072545856  -24.072546019  -24.072545446
    4.654654655  -22.348564305  -22.348564436  -22.348563892
    4.684684685  -20.859117671  -20.859117834  -20.859117356
    4.714714715  -19.456198065  -19.456198268  -19.456197868
    4.744744745  -18.114863501  -18.114863672  -18.114863299
    4.774774775  -16.987297636  -16.987297740  -16.987297349
    4.804804805  -16.027718291  -16.027718396  -16.027717999
    4.834834835  -15.011747036  -15.011747185  -15.011746800
    4.864864865  -13.919508358  -13.919508523  -13.919508139
    4.894894895  -12.822629296  -12.822629453  -12.822629060
    4.924924925  -11.750690075  -11.750690218  -11.750689810
    4.954954955  -10.703912618  -10.703912745  -10.703912317
    4.984984985   -9.678505821   -9.678505933   -9.678505481
    5.015015015   -8.691584432   -8.691584534   -8.691584053
    5.045045045   -7.834565725   -7.834565823   -7.834565306
    5.075075075   -7.380909836   -7.380909948   -7.380909367
    5.105105105   -7.721537888   -7.721538014   -7.721537288
    5.135135135   -8.493717160   -8.493717237   -8.493716241
    5.165165165   -8.644350461   -8.644350473   -8.644349204
    5.195195195   -8.117495098   -8.117495117   -8.117493633
