#  E (eV)   dosup(E)     dosdw(E)   Int dos(E) EFermi =   12.843 eV
  14.500  0.1524E+00  0.1429E+01  0.9172E+01
  14.600  0.1527E+00  0.1554E+01  0.9342E+01
  14.700  0.1526E+00  0.1308E+01  0.9504E+01
  14.800  0.1520E+00  0.9924E+00  0.9631E+01
  14.900  0.1509E+00  0.1334E+01  0.9759E+01
  15.000  0.1522E+00  0.1810E+01  0.9924E+01
  15.100  0.1478E+00  0.4360E+01  0.1024E+02
  15.200  0.1476E+00  0.1667E+01  0.1048E+02
  15.300  0.1456E+00  0.1192E+01  0.1063E+02
  15.400  0.1427E+00  0.1004E+01  0.1075E+02
  15.500  0.1482E+00  0.4705E+00  0.1084E+02
  15.600  0.1460E+00  0.2569E+00  0.1089E+02
  15.700  0.1387E+00  0.2310E+00  0.1093E+02
  15.800  0.1338E+00  0.2539E+00  0.1097E+02
  15.900  0.1346E+00  0.2616E+00  0.1101E+02
  16.000  0.1370E+00  0.2562E+00  0.1105E+02
  16.100  0.1347E+00  0.2435E+00  0.1108E+02
  16.200  0.1290E+00  0.2401E+00  0.1112E+02
  16.300  0.1237E+00  0.2350E+00  0.1116E+02
  16.400  0.1192E+00  0.2291E+00  0.1119E+02
  16.500  0.1191E+00  0.2150E+00  0.1123E+02
  16.600  0.1146E+00  0.2068E+00  0.1126E+02
  16.700  0.1137E+00  0.2009E+00  0.1129E+02
  16.800  0.1129E+00  0.1950E+00  0.1132E+02
  16.900  0.1121E+00  0.1900E+00  0.1135E+02
  17.000  0.1115E+00  0.1863E+00  0.1138E+02
  17.100  0.1112E+00  0.1868E+00  0.1141E+02
  17.200  0.1111E+00  0.1851E+00  0.1144E+02
  17.300  0.1112E+00  0.1810E+00  0.1147E+02
  17.400  0.1042E+00  0.1753E+00  0.1150E+02
  17.500  0.1016E+00  0.1706E+00  0.1153E+02
  17.600  0.9787E-01  0.1838E+00  0.1156E+02
  17.700  0.9301E-01  0.1628E+00  0.1158E+02
  17.800  0.8426E-01  0.1520E+00  0.1161E+02
  17.900  0.7920E-01  0.1441E+00  0.1163E+02
  18.000  0.7513E-01  0.1403E+00  0.1166E+02
  18.100  0.7101E-01  0.1383E+00  0.1168E+02
  18.200  0.6022E-01  0.1366E+00  0.1170E+02
  18.300  0.5695E-01  0.1353E+00  0.1172E+02
  18.400  0.5500E-01  0.1342E+00  0.1174E+02
  18.500  0.5270E-01  0.1335E+00  0.1175E+02
  18.600  0.4982E-01  0.1330E+00  0.1177E+02
  18.700  0.4637E-01  0.1316E+00  0.1179E+02
  18.800  0.4235E-01  0.1210E+00  0.1181E+02
  18.900  0.3934E-01  0.1158E+00  0.1182E+02
  19.000  0.3734E-01  0.1093E+00  0.1184E+02
  19.100  0.3535E-01  0.1210E+00  0.1186E+02
  19.200  0.3336E-01  0.9265E-01  0.1187E+02
  19.300  0.3137E-01  0.8345E-01  0.1188E+02
  19.400  0.2939E-01  0.7524E-01  0.1189E+02
  19.500  0.2742E-01  0.6768E-01  0.1190E+02
  19.600  0.2545E-01  0.6330E-01  0.1191E+02
  19.700  0.2348E-01  0.5968E-01  0.1192E+02
  19.800  0.2100E-01  0.5550E-01  0.1193E+02
  19.900  0.1824E-01  0.5075E-01  0.1193E+02
  20.000  0.2667E-01  0.4656E-01  0.1194E+02
